location,timestamp
Another Spot,2014-01-29T02:50:00.000Z
Back Right,2014-01-29T02:50:05.000Z
Another Spot,2014-01-29T02:50:10.000Z
Front Left,2014-01-29T02:50:15.000Z
Near the Front,2014-01-29T02:50:15.000Z
Back Right,2014-01-29T02:50:15.000Z
Another Spot,2014-01-29T02:50:20.000Z
Back Right,2014-01-29T02:50:20.000Z
Front Left,2014-01-29T02:50:20.000Z
Front Left,2014-01-29T02:50:24.000Z
Mid Right Spot,2014-01-29T02:50:33.000Z
Near the Front,2014-01-29T02:50:35.000Z
Near the Party,2014-01-29T02:50:39.000Z
Near the Front,2014-01-29T02:50:43.000Z
Left Side,2014-01-29T02:50:47.000Z
Near the Front,2014-01-29T02:50:48.000Z
Left Side,2014-01-29T02:50:52.000Z
Another Spot,2014-01-29T02:50:54.000Z
Left Side,2014-01-29T02:50:57.000Z
Mid Right Spot,2014-01-29T02:51:12.000Z
Mid Right Spot,2014-01-29T02:51:17.000Z
Near the Front,2014-01-29T02:51:17.000Z
Mid Right Spot,2014-01-29T02:51:21.000Z
Mid Right Spot,2014-01-29T02:51:23.000Z
Mid Right Spot,2014-01-29T02:51:29.000Z
Mid Right Spot,2014-01-29T02:51:31.000Z
Near the Front,2014-01-29T02:51:34.000Z
Left Side,2014-01-29T02:51:45.000Z
Near the Front,2014-01-29T02:51:49.000Z
Front Left,2014-01-29T02:52:07.000Z
Mid Right Spot,2014-01-29T02:52:12.000Z
Front Left,2014-01-29T02:52:13.000Z
Near the Front,2014-01-29T02:52:31.000Z
Left Side,2014-01-29T02:52:31.000Z
Another Spot,2014-01-29T02:52:41.000Z
Near the Party,2014-01-29T02:52:42.000Z
Another Spot,2014-01-29T02:52:46.000Z
Another Spot,2014-01-29T02:52:54.000Z
Front Left,2014-01-29T02:52:55.000Z
Mid Right Spot,2014-01-29T02:52:56.000Z
Mid Right Spot,2014-01-29T02:52:58.000Z
Mid Right Spot,2014-01-29T02:53:03.000Z
Mid Right Spot,2014-01-29T02:53:08.000Z
Left Side,2014-01-29T02:53:08.000Z
Left Side,2014-01-29T02:53:12.000Z
Mid Right Spot,2014-01-29T02:53:13.000Z
Another Spot,2014-01-29T02:53:14.000Z
Mid Right Spot,2014-01-29T02:53:16.000Z
Near the Party,2014-01-29T02:53:20.000Z
Mid Right Spot,2014-01-29T02:53:20.000Z
Mid Right Spot,2014-01-29T02:53:25.000Z
Near the Party,2014-01-29T02:53:26.000Z
